RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
11,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1994,KE04568825,          1.875,         35.458,      -99,1994001,1994060,1994065,1994110,1994155,1994155,1994,-99,14528,5403,5403,0,8605,0.260700136,2072,414.468781,0.371873051,3.43296909,-99,-99,-99,-99,-99,21,348,182,562,326,236,4,0,15,2,100,0,130,0,13,34,107,72,0.711312443E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26411,26411,0,0,189026,189026,469,0.00000000,86.0159149,32.3852234,44.5861282,41.7241821,31.9893475,12.0440760,16.5815964,15.5172377,145.280853,111.754509,54.0299988,41.5615387,95,32.0252609,18.4842091,21.9947414,12.0405130,358.189514,168.899979,448.602295,125.606651,325.843170,1,
12,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1995,KE04568825,          1.875,         35.458,      -99,1995001,1995060,1995065,1995109,1995153,1995153,1995,-99,14166,5220,5220,0,8687,0.244899958,2131,426.290100,0.368487537,3.28512645,-99,-99,-99,-99,-99,24,413,171,597,333,264,9,0,29,2,100,0,131,0,12,34,108,74,0.731410310E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26410,26410,0,0,188996,188996,451,0.00000000,93.0736008,29.8602486,42.5932770,34.3081741,34.2969780,11.0032949,15.6953287,12.6423244,141.658020,108.135895,52.2000008,39.8473282,93,32.2537651,18.3193531,21.7677402,12.0391884,360.276306,152.199997,474.403351,144.498016,332.583038,1,
13,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1996,KE04568825,          1.875,         35.458,      -99,1996001,1996060,1996066,1996111,1996156,1996156,1996,-99,15554,6179,6179,0,9751,0.252799958,2444,488.836639,0.397260368,3.46700335,-99,-99,-99,-99,-99,20,325,264,583,318,265,8,0,49,2,100,0,132,0,12,35,110,77,0.753477067E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26409,26409,0,0,188991,188991,472,0.00000000,67.3323212,34.5193748,48.9589615,47.8872070,26.7489185,13.7134132,19.4497871,19.0240135,155.537659,117.831558,61.7900009,46.8106079,96,31.5822906,18.3927040,21.3687534,12.0411644,362.147003,231.000000,450.580750,134.885468,317.689850,1,
14,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1997,KE04568825,          1.875,         35.458,      -99,1997001,1997060,1997065,1997111,1997156,1997156,1997,-99,13831,4899,4899,0,8545,0.252800107,1938,387.561401,0.354191512,3.33742499,-99,-99,-99,-99,-99,19,299,320,568,310,258,22,0,80,2,100,0,135,0,15,40,107,72,0.924531817E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26404,26404,0,0,188956,188956,503,0.00000000,43.1944847,31.1905231,44.5935287,46.1980324,15.2998123,11.0479183,15.7953644,16.3636913,138.308746,102.450920,48.9900017,36.2888870,96,31.3708324,18.0291595,22.2593746,12.0411644,363.276367,320.200012,443.431946,136.588058,310.154297,1,
15,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1998,KE04568825,          1.875,         35.458,      -99,1998001,1998060,1998065,1998109,1998152,1998152,1998,-99,14893,5821,5821,0,9128,0.244899988,2377,475.417572,0.390883744,3.44745779,-99,-99,-99,-99,-99,21,351,193,572,327,245,2,0,21,2,100,0,130,0,13,33,110,76,0.704672635E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26410,26410,0,0,188986,188986,454,0.00000000,101.729126,33.8004951,45.5326767,42.4269180,39.7609253,13.2109547,17.7964897,16.5826015,148.931458,114.562660,58.2099991,44.7769241,92,32.7152100,19.2087002,22.0347862,12.0385160,365.753357,146.400009,440.619171,116.440918,327.086975,1,
16,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1999,KE04568825,          1.875,         35.458,      -99,1999001,1999060,1999065,1999109,1999155,1999155,1999,-99,14884,6029,6029,0,9772,0.260700136,2313,462.514862,0.405063868,3.19727445,-99,-99,-99,-99,-99,23,380,170,584,309,276,7,0,9,2,100,0,130,0,13,33,106,78,0.153699324,-99,-99,-99,-99,-99,-99,-99,-99,0,26411,26411,0,0,189006,189006,454,0.00000000,90.7547989,32.0405579,48.2024727,39.1433296,36.7621956,12.9787216,19.5254536,15.8558531,148.837875,114.490669,60.2900009,46.3769226,95,31.3178940,18.2747364,22.3621025,12.0405130,367.999969,164.000000,464.529572,158.272476,308.776428,1,
17,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2000,KE04568825,          1.875,         35.458,      -99,2000001,2000060,2000065,2000110,2000152,2000152,2000,-99,14820,5796,5796,0,8973,0.244899958,2367,473.306702,0.391074896,3.39711738,-99,-99,-99,-99,-99,28,471,94,605,347,258,1,0,9,2,100,0,129,0,12,32,106,73,0.713704526E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26413,26413,0,0,189034,189034,447,0.00000000,169.175461,30.8611813,42.6508369,31.4820137,66.1643829,12.0697832,16.6807079,12.3125906,148.197693,114.881935,57.9599991,44.9302330,92,33.0869637,18.6913071,22.9934807,12.0385160,368.980927,87.5999985,480.207458,136.309570,347.467255,1,
18,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2001,KE04568825,          1.875,         35.458,      -99,2001001,2001060,2001065,2001110,2001153,2001153,2001,-99,14328,5414,5414,0,9173,0.236999944,2284,456.841736,0.377832711,3.25347281,-99,-99,-99,-99,-99,20,326,231,571,303,268,7,0,30,2,100,0,133,0,12,35,106,75,0.745576024E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26409,26409,0,0,188979,188979,460,0.00000000,70.3040466,33.5286789,47.2512627,43.9128494,26.5652599,12.6692286,17.8544788,16.5930176,143.279648,107.729057,54.1399994,40.7067680,93,32.1000023,18.6182785,22.0376396,12.0391884,370.548645,203.800003,427.334625,126.794823,303.229248,1,
19,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2002,KE04568825,          1.875,         35.458,      -99,2002001,2002060,2002066,2002111,2002156,2002156,2002,-99,14891,5645,5645,0,9216,0.252799928,2233,446.595032,0.379097044,3.46768808,-99,-99,-99,-99,-99,22,352,263,596,319,276,15,0,56,2,100,0,134,0,12,37,112,77,0.900496468E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26407,26407,0,0,188959,188959,481,0.00000000,57.6259346,31.6198425,46.6262665,42.2733002,21.8459759,11.9870739,17.6760044,16.0257950,148.905411,111.123444,56.4500008,42.1268654,96,31.7333279,18.2197895,21.4239578,12.0411644,372.380981,258.399994,470.923950,154.765381,319.359497,1,
20,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2003,KE04568825,          1.875,         35.458,      -99,2003001,2003061,2003066,2003111,2003158,2003158,2003,-99,13792,4834,4834,0,7932,0.260699898,1854,370.827423,0.350473791,3.42245531,-99,-99,-99,-99,-99,16,267,390,545,308,238,26,0,136,2,100,0,135,0,17,42,111,71,0.738239586E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26402,26402,0,0,188929,188929,538,0.00000000,36.3234024,31.9756088,44.8435287,51.7257652,12.7311010,11.2072296,15.7173471,18.1295242,137.919983,102.162949,48.3400002,35.8074074,97,31.1958866,18.4371128,21.3195858,12.0432615,374.992065,379.700073,431.328705,126.469498,307.558258,1,
